ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotalLabel,YearTotal,TrafficCountTotal
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,1,"2,142",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,2,"2,957",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,3,"4,199",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,4,"13,938",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,5,"38,434",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,6,"66,295",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,7,"82,917",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,8,"81,563",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,9,"75,278",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,10,"60,486",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,11,"9,561",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,12,"5,585",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2022,"443,355"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,1,"1,950",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,2,"1,800",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,3,"2,600",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,4,"3,300",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,5,"8,865",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,6,"16,967",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,7,"24,884",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,8,"24,830",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,9,"20,997",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,10,"11,779",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,11,"2,750",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,12,"1,800",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2022,"122,522"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,1,"16,922",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,2,"21,411",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,3,"52,362",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,4,"54,884",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,5,"62,779",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,6,"62,448",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,7,"58,128",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,8,"51,981",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,9,"56,733",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,10,"60,392",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,11,"34,442",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,12,"17,787",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,1,"2,914",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,2,"2,800",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,3,"4,123",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
